id,keyword,text,lat,long,census,comp,category,LILATracts_1And10,county,target
3912,cherry,Casual mall shopping. #kndanceandentertainment #TheNotScaryPirate @ Cherry Hill Mall ,39.94159776,-75.02445111,34007603200,0.2023,healthy,0,34007,1
7819,orange,"I think those are so very excitable red squirrels @ Middletown, Orange County, New York ",41.44556,-74.42194,36071015100,0.4716,healthy,0,36071,1
9804,vegetable,"Who can identify this delicious vegetable? @ College Park, Maryland ",38.98073,-76.93727,24033807200,0.657,healthy,1,24033,1
4356,oil,"Avocado-Watercress Salad (4 Servings) - whisk 3 tablespoons olive oil, 1 tablespoon lemon juice, and 1 tablespoon soy sauce, set aside. Combine 1 bunch of trimmed watercress, 6 oz. ",40.654,-73.9935,36047017500,0.0,unhealthy,0,36047,0
1413,bread,Tonights appetizer is Buffalo insalate. House bread came with a Calabrian butter and a side of home made ricotta. The ricotta had touch of pepper and olive oil. So smooth and creamy it ,33.5303437,-111.9259449,4013216901,0.0,unhealthy,0,4013,0
1130,pizza,"How do you #tbt ??
We #bbqchicken #pizza 

Check it out our new #thursday #special 

Medium Pizza and Cheese Bread 18.99

#perfect for watch #oregon vs #virginia #tonight ",33.853820299999995,-117.83687783,6059021813,0.0,unhealthy,0,6059,0
9609,fish,Wedding Wednesday! Something for the guys - our Navigator Key Ring has your custom location on a Sterling Silver disc. The fish hook key ring is designed to hook onto your belt or your ,42.5,-70.85833333,25009203200,0.0,healthy,0,25009,1
1491,blueberry,Get up tomorrow morning and come out to the farm for a delicious breakfast special! Delicious#Blueberry#Cider#Pancakeswith#maple cream cheese frosting and toasted walnuts. You had us ,41.4973407,-72.7148163,9007580100,0.7712,healthy,0,9007,1
4325,oil,"Roasted cauliflower ""hash browns"" with @TexasPete #idealproteinphase1 #idealprotein 
Recipe:
Roast cauliflower for 20 minutes in 450 degree oven (drizzled with olive oil, salt, pepper, ",33.0504,-96.7459,48085031613,0.0,unhealthy,0,48085,0
1621,bread,"Panera Bread is hiring in Fairport, NY! Click the link in our bio to apply: Restaurant Associate - Cashier #parttime #Cashier",43.0684195,-77.4377204,36055011706,0.0,unhealthy,0,36055,0
7293,burger,Finally on the West Coast trying In-N-Out  @ In-N-Out Burger ,33.95370629999999,-118.396763,6037278001,0.0,unhealthy,0,6037,0
7304,burger,Friday night with the family @ In-N-Out Burger ,33.939566,-118.046837,6037502902,0.0,unhealthy,0,6037,0
1669,apple,"Agree or Disagree  New SNS Podcast out not on Apple Podcast and Spotify @ Miami, Florida ",25.7752,-80.192,12086003704,-0.0258,healthy,0,12086,1
5665,pasta,"Beef Stew with bone marrow and fresh organic vegetables. No rice no pasta.
 #PRIVATECHEFLIFE 
#privatechef  #cleveland  #truecooks 
#chef #Personalchef  #puertorico #finedining ",40.5,-82.5,39083006900,-0.2732,unhealthy,0,39083,0
4468,fish,Birthday dinner in Hollywood. #offvine #restaurant #hollywood #vine #LA #california #birthday #dinner #pork #fish #tomato #soup #dessert @ off vine Restaurant ,34.09731,-118.32597,6037190801,0.0,healthy,0,6037,1
3298,fried chicken,"Brunch is on people! Were serving up cocktails, hot-honey fried Chicken sandwiches and biscuits and gravy for you today. #thefluff #brunch #hotchicken #athensohio @ Fluff Bakery &amp; Catering ",39.32957102,-82.10102824,39009973902,0.0,unhealthy,1,39009,0
5350,macaroni,Many kind words as a send off.... @ Macaroni Joes ,35.19620070000001,-101.86749888,48375011600,0.5267,unhealthy,0,48375,0
5548,oil,"Plein air oil painting 9x12 canvas Pergola @ Veterans Park in Delray #delraybeach #veteranspark #pleinairpainting #lsffineart @ Delray Beach, Florida ",26.46437,-80.07418,12099006700,0.0,unhealthy,0,12099,0
9465,turkey,Turkey burgers with melted Swiss and guacamole... quick and easy dinner tonight! #dinner #itswhatsfordinner #turkeyburger #guacamole #guac #burger #quickandhealthy #yummy #nomnomnom ,41.6905,-81.3393,39085202800,0.4926,healthy,0,39085,1
1164,chicken,"Nice little lunch at MPE...catfish, hush puppies, pulled pork, bbq chicken, baked beans, green beans, mac n cheese, roll, and apple cheesecake w/ caramel sauce  #mpe40 #thestruggleisreal ",32.39894,-90.14255,28049010102,0.4215,healthy,0,28049,1
2457,rice,"Chicken Long Rice with Shitake
Mushrooms #hawaii #808 plates
#cheapeats @ John A. Burns School of Medicine ",21.29580288,-157.86301232,15003003800,-0.0772,healthy,0,15003,1
4273,cherry,Cleared: Construction on #NJ35 NB from CR 50/New Monmouth Rd to CR 516/Cherry Tree Farm Rd,40.39784,-74.111594,34025800800,0.1027,healthy,0,34025,1
10161,raspberry,Drinking a Raspberry Beeret by @pinthousepizza at @pinthouselamar  ,30.236,-97.7958,48453001901,0.0,healthy,0,48453,1
6814,frosting,"Chocolate cake covered in ganache.  Tomorrow cream cheese frosting accents.

Text me if you want this cake.
Call me if you need this cake.. @ Local Foods Bakery ",41.75392079,-86.109349,18141011406,0.0772,unhealthy,0,18141,0
8349,chocolate,"I'm at Chocolate Bash in Los Angeles, CA w/ @sammak_7 @m_7ajia_7 ",34.03970045,-118.4295939,6037267800,0.0,unhealthy,0,6037,0
95,orange,"Ada is here ready for @AFARaleigh919 story + craft hour sitting with our fab selection of books + accessories ready to go home with you today at SUPER SAVINGS! ORANGE DOTS= BUY 1 SAVE 30%, ",35.77852,-78.63772,37183050100,0.9506,healthy,0,37183,1
2162,banana,"Found this sweet banana shirt and some new hats  beach day with my love hannah_mc777 @ Fort Myers Beach, Florida ",26.4387,-81.9256,12071060102,0.802,healthy,0,12071,1
10248,turkey,"My favorite dish of the turkey challenge so far: Bahn Fowl! I had some old sub rolls laying around that I figured Id put to use. No need to even use breadcrumbs on the patty for this, ",35.56596614,-82.51978698,37021002000,0.3382,healthy,0,37021,1
6531,mango,"Looks good (@ Mangos Tequila Bar in Alpena, MI) ",45.062787,-83.433715,26007000400,0.4404,healthy,0,26007,1
8854,tofu,"Tomorrow is our first @weareaaoc Trade Show and today is set up.. You need a healthy lunch write! Avocado toast with daiyafoods cheese sticks.. Tofu...
We got this!!

#costamesarealestate ",33.683414,-117.907326,6059063903,0.5538,healthy,0,6059,1
